iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,i_dc_a,i_dc_zero_mv,i_dc_peak_a,i_dc_min_a,i_dc_a_signed,temp_motor_c,temp_motor_f,temp_ambient_c,i_u_a,i_v_a,i_w_a,modbus_rpm,modbus_fault
2026-07-30T19:14:54.694121+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233212,1116,262,1926,2514,4,0,632954,9,219,72,0,2,1658,1494,1211,60,130,1654,16383,1663,1651,1643142,800,2019,2153,526048,11955,8,382562,1496,42271,476,4233113612,4233212706,0,4233212780,4233213295,3374959696,17865257,0.0796,1651.0,0.19808229435382652,-0.025217054203262812,0.0796,24.88,76.8,,,,,,
2026-07-30T19:14:54.789723+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233312,1110,262,1939,2531,3,0,632999,9,219,73,0,3,1658,1494,1225,60,127,1663,16383,1662,1650,1659722,808,2030,2077,526051,11952,8,382556,1496,42272,476,4233213700,4233313353,0,4233313367,4233313882,3409305830,17856294,0.0796,1651.0,0.07230366265060217,-0.006037409638554259,0.0796,24.61,76.3,,,,,,
2026-07-30T19:14:54.881854+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233412,1107,262,1940,2533,5,0,633043,9,219,73,1,2,1658,1494,1240,61,125,1656,16383,1662,1655,1643940,800,2017,2083,526129,11954,8,382555,1496,42273,476,4233314287,4233413382,0,4233413392,4233413907,3378227728,17862268,0.0796,1651.0,0.0817237555629915,-0.028268706207127625,0.0796,24.82,76.7,,,,,,
2026-07-30T19:14:54.975781+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233512,1118,262,1934,2520,2,0,633088,9,219,73,3,3,1658,1495,1203,61,125,1663,16383,1663,1651,1643096,800,2025,2090,526089,11959,8,382563,1496,42274,476,4233414314,4233513411,0,4233513425,4233513940,3374768064,17877211,0.0796,1651.0,0.09193335772221722,-0.016347261058617057,0.0796,24.61,76.3,,,,,,
2026-07-30T19:14:55.071150+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233612,1133,264,1899,2482,5,0,633133,9,219,73,1,2,1658,1494,1232,62,129,1656,16383,1663,1652,1643836,800,2019,2079,526124,11954,8,382561,1496,42275,476,4233514347,4233613465,0,4233613475,4233613990,3377801768,17862268,0.0796,1651.0,0.07505754575874146,-0.02493560130500283,0.0796,24.82,76.7,,,,,,
2026-07-30T19:14:55.211227+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233713,1134,263,1897,2478,2,0,633178,9,219,73,0,3,1658,1494,1232,60,123,1662,16383,1665,1651,1643668,800,2021,2089,526112,11952,8,382555,1496,42276,476,4233614398,4233713531,0,4233713540,4233714055,3377109780,17856294,0.0796,1651.0,0.0923056385542167,-0.021038891566265594,0.0796,24.64,76.3,,,,,,
2026-07-30T19:14:55.305440+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233813,1128,262,1903,2484,5,0,633223,9,219,72,3,2,1658,1494,1228,60,123,1655,16383,1661,1652,1643812,800,2014,2083,526132,11950,8,382546,1496,42277,476,4233714460,4233813687,0,4233813697,4233814212,3377698540,17850316,0.0796,1651.0,0.08288574008368199,-0.03214487012552336,0.0796,24.85,76.7,,,,,,
2026-07-30T19:14:55.399798+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4233913,1119,260,1928,2509,2,0,633268,9,219,72,1,2,1658,1495,1237,64,131,1654,16383,1662,1654,1643968,800,2031,2079,526138,11957,8,382550,1496,42278,476,4233814620,4233913739,0,4233913749,4233914264,3378337616,17871235,0.0796,1651.0,0.07418824011039549,-0.0057862069917207215,0.0796,24.88,76.8,,,,,,
2026-07-30T19:14:55.494346+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234013,1116,262,1927,2514,5,0,633313,9,219,72,1,2,1658,1494,1234,64,131,1657,16383,1661,1653,1659939,808,2027,2083,526114,11954,8,382549,1496,42279,476,4233914674,4234014370,0,4234014444,4234014959,3410193289,17862268,0.0796,1651.0,0.0817237555629915,-0.011603181696503206,0.0796,24.79,76.6,,,,,,
2026-07-30T19:14:55.588502+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234113,1109,262,1938,2530,2,0,633358,9,219,73,0,2,1658,1495,1243,67,134,1656,16383,1662,1652,1643484,800,2021,2243,526077,11956,8,382551,1496,42280,476,4234015366,4234114423,0,4234114501,4234115016,3376385574,17868244,0.0796,1651.0,0.34774684208765416,-0.022165912679826594,0.0796,24.82,76.7,,,,,,
2026-07-30T19:14:55.682583+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234213,1107,263,1945,2539,1,0,633402,9,219,73,0,2,1658,1495,1232,66,132,1655,16383,1661,1648,1643104,800,1993,2087,526063,11956,8,382553,1496,42281,476,4234115421,4234214472,0,4234214550,4234215065,3374796988,17868244,0.0796,1651.0,0.08780814954834382,-0.06882157544329237,0.0796,24.85,76.7,,,,,,
2026-07-30T19:14:55.774252+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234313,1097,262,1957,2554,4,0,633446,9,219,72,2,2,1658,1495,1233,66,132,1657,16383,1663,1653,1643558,800,2023,2097,526108,11959,8,382561,1496,42282,476,4234215470,4234314511,0,4234314585,4234315100,3376661864,17877211,0.0796,1651.0,0.10359434743707663,-0.019678972405719808,0.0796,24.79,76.6,,,,,,
2026-07-30T19:14:55.916034+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234414,1092,261,1966,2563,6,0,633489,9,219,73,3,2,1658,1494,1221,65,130,1657,16383,1663,1651,1643170,800,1937,2076,526073,11954,8,382559,1496,42283,476,4234315508,4234414565,0,4234414639,4234415154,3375089106,17862270,0.0796,1651.0,0.07005788840555427,-0.1615929022921203,0.0796,24.79,76.6,,,,,,
2026-07-30T19:14:56.009662+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234514,1088,260,1976,2573,1,0,633534,9,219,73,1,3,1658,1495,1232,66,131,1658,16383,1661,1654,1660062,808,2007,2093,526083,11956,8,382561,1496,42284,476,4234415561,4234515367,0,4234515381,4234515896,3410705212,17868244,0.0796,1651.0,0.09780579156908642,-0.04549374406155948,0.0796,24.76,76.6,,,,,,
2026-07-30T19:14:56.104652+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234614,1131,263,1913,2496,6,0,633579,9,219,74,4,4,1658,1494,1258,66,131,1660,16383,1664,1651,1643854,800,2025,2175,526116,11953,8,382557,1496,42285,476,4234516303,4234615421,0,4234615430,4234615945,3377887034,17859279,0.0796,1651.0,0.23534983142307375,-0.014653950054379639,0.0796,24.7,76.5,,,,,,
2026-07-30T19:14:56.196346+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234714,1151,262,1871,2441,5,0,633625,9,219,73,1,2,1658,1494,1241,64,124,1661,16383,1664,1649,1643447,800,1965,2087,526112,11954,8,382556,1496,42286,476,4234616352,4234715494,0,4234715504,4234716019,3376221259,17862268,0.0796,1651.0,0.08838996536724109,-0.11492943366237274,0.0796,24.67,76.4,,,,,,
2026-07-30T19:14:56.288521+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234815,1146,262,1866,2438,3,0,633671,9,219,72,5,1,1658,1494,1253,64,124,1654,16383,1662,1650,1643670,800,2015,2166,526090,11954,8,382555,1496,42287,476,4234716430,4234815535,0,4234815544,4234816059,3377128748,17862268,0.0796,1651.0,0.22004760900117093,-0.03160181110925242,0.0796,24.88,76.8,,,,,,
2026-07-30T19:14:56.380701+00:00,S014,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,4234915,1121,262,1915,2500,4,0,633716,9,219,72,2,2,1658,1495,1245,61,135,1657,16383,1661,1652,1642959,800,1963,2081,526077,11957,8,382559,1496,42288,476,4234816467,4234915577,0,4234915587,4234916102,3374202921,17871235,0.0796,1651.0,0.07752050873964977,-0.11908334038638468,0.0796,24.79,76.6,,,,,,
