t,rpm,amps,peak_a,mv,env,vib,ripple,temp_mv
59.59,2027,0.112,0.129,1649,6,68,287,1634
59.69,2036,0.112,0.135,1649,8,68,292,1636
59.79,2052,0.112,0.124,1649,5,68,293,1637
59.89,2061,0.112,0.118,1649,4,66,292,1635
59.99,2060,0.112,0.124,1649,7,66,293,1636
60.09,2048,0.112,0.118,1649,5,62,293,1636
60.19,2037,0.112,0.129,1649,8,65,291,1638
60.29,2047,0.112,0.124,1649,6,65,294,1637
60.39,2061,0.112,0.135,1649,7,62,288,1639
60.49,2057,0.112,0.124,1649,7,66,293,1631
60.59,2039,0.112,0.124,1649,6,66,293,1639
60.69,2013,0.112,0.129,1649,9,65,292,1636
60.79,2013,0.112,0.129,1649,7,65,291,1639
60.89,2028,0.112,0.124,1649,7,63,289,1637
60.99,2033,0.112,0.124,1649,5,63,290,1636
61.1,2010,0.112,0.118,1649,6,63,291,1642
61.19,1982,0.107,0.118,1648,6,63,291,1639
61.3,1993,0.107,0.129,1648,6,62,290,1639
61.4,2030,0.112,0.124,1649,8,62,293,1634
61.5,2056,0.112,0.124,1649,8,63,293,1634
61.6,2056,0.112,0.124,1649,7,63,292,1637
61.7,2043,0.112,0.118,1649,4,60,291,1641
61.8,2036,0.112,0.124,1649,8,60,293,1636
61.9,2035,0.112,0.129,1649,6,60,292,1635
62.0,2035,0.112,0.124,1649,7,61,292,1638
62.1,2027,0.112,0.118,1649,7,61,289,1638
62.2,2013,0.112,0.124,1649,6,61,293,1636
62.3,2005,0.112,0.124,1649,8,62,290,1636
62.4,2005,0.112,0.118,1649,5,62,292,1634
62.5,1997,0.112,0.118,1649,5,64,292,1635
62.6,1993,0.112,0.129,1649,8,64,292,1633
62.7,2003,0.112,0.129,1649,6,64,292,1630
62.8,2004,0.112,0.129,1649,6,65,291,1633
62.9,1965,0.118,0.141,1650,8,65,289,1636
63.0,1983,0.124,0.158,1651,7,65,290,1636
63.1,1994,0.129,0.169,1652,9,65,287,1636
63.2,2010,0.135,0.163,1653,6,65,291,1636
63.3,2003,0.146,0.163,1655,7,62,292,1636
63.4,2019,0.152,0.192,1656,10,65,290,1645
63.51,2015,0.158,0.192,1657,6,65,289,1636
63.61,2019,0.169,0.209,1659,8,68,288,1635
63.71,2040,0.175,0.203,1660,9,74,296,1634
63.81,2002,0.175,0.203,1660,7,74,286,1634
63.91,2088,0.169,0.186,1659,11,81,292,1635
64.01,2084,0.158,0.146,1657,6,81,293,1630
64.11,2092,0.146,0.141,1655,7,77,295,1632
64.21,2113,0.135,0.141,1653,10,74,296,1633
64.31,2085,0.129,0.118,1652,5,74,295,1629
64.41,2039,0.124,0.124,1651,6,70,294,1635
64.51,2025,0.118,0.124,1650,7,67,292,1635
64.61,2029,0.118,0.124,1650,5,67,290,1635
64.71,2028,0.112,0.118,1649,5,65,293,1638
64.81,2014,0.112,0.124,1649,6,65,291,1634
64.91,2008,0.112,0.135,1649,9,65,286,1639
65.01,2018,0.112,0.129,1649,7,67,292,1635
65.11,2030,0.112,0.118,1649,5,67,291,1636
65.21,2032,0.112,0.129,1649,8,64,291,1637
65.31,2021,0.107,0.118,1648,6,61,292,1635
65.41,2011,0.107,0.124,1648,5,61,292,1628
65.51,2017,0.107,0.124,1648,6,63,291,1630
65.61,1987,0.112,0.146,1649,10,63,303,1633
65.71,1999,0.118,0.152,1650,9,91,300,1633
65.81,1935,0.124,0.186,1651,16,144,303,1633
65.92,1986,0.141,0.232,1654,16,144,316,1631
66.02,1774,0.186,0.408,1662,43,173,352,1628
66.12,1873,0.232,0.42,1670,24,270,293,1629
66.22,1900,0.272,0.402,1677,17,270,293,1628
66.32,1925,0.306,0.425,1683,17,308,294,1626
66.42,2121,0.311,0.431,1684,38,308,327,1632
66.52,1911,0.334,0.482,1688,41,300,309,1629
66.62,1791,0.402,0.624,1700,31,294,348,1625
66.72,1872,0.459,0.647,1710,23,294,307,1623
66.82,2077,0.482,0.613,1714,27,270,304,1619
66.92,1879,0.522,0.755,1721,50,241,419,1617
67.02,2080,0.522,0.63,1721,28,241,343,1621
67.12,2106,0.505,0.533,1718,28,273,306,1615
67.22,1897,0.499,0.676,1717,48,273,471,1619
67.32,1953,0.505,0.585,1718,24,301,291,1621
67.42,1952,0.516,0.659,1720,32,263,359,1620
67.52,1968,0.528,0.607,1722,22,263,292,1620
67.62,2019,0.528,0.568,1722,15,235,281,1622
67.72,2056,0.511,0.522,1719,15,217,286,1622
67.82,2110,0.482,0.476,1714,17,217,295,1621
67.92,1976,0.471,0.494,1712,20,216,284,1619
68.02,2048,0.465,0.511,1711,18,216,295,1618
68.12,2057,0.454,0.482,1709,14,244,292,1618
68.22,2098,0.442,0.448,1707,14,220,309,1623
68.32,2112,0.42,0.42,1703,13,220,299,1625
68.42,2177,0.385,0.402,1697,23,209,294,1626
68.52,2062,0.357,0.334,1692,11,221,285,1623
68.63,1973,0.351,0.38,1691,17,221,301,1619
68.73,2013,0.346,0.346,1690,7,214,289,1624
68.83,2022,0.34,0.351,1689,10,214,286,1628
68.93,2031,0.334,0.351,1688,9,239,286,1624
69.03,2022,0.334,0.351,1688,8,269,283,1632
69.13,2008,0.328,0.351,1687,11,269,286,1625
69.23,2002,0.328,0.357,1687,8,261,289,1628
69.33,2052,0.328,0.38,1687,17,310,291,1628
69.43,1969,0.34,0.42,1689,21,310,285,1631
69.53,1931,0.357,0.511,1692,36,338,419,1627
69.63,2004,0.363,0.511,1693,32,338,296,1624
69.73,2004,0.368,0.425,1694,18,351,308,1626
69.83,2017,0.374,0.437,1695,19,320,306,1626
69.93,2018,0.374,0.471,1695,24,320,304,1625
70.03,2053,0.368,0.397,1694,16,289,296,1626
70.13,2021,0.351,0.363,1691,11,292,297,1626
70.23,2033,0.34,0.357,1689,13,292,297,1624
70.33,2096,0.323,0.328,1686,12,270,298,1625
70.43,2059,0.311,0.306,1684,11,270,303,1625
70.53,2034,0.289,0.283,1680,11,243,289,1638
70.63,1936,0.283,0.323,1679,17,211,286,1630
70.73,2001,0.283,0.306,1679,9,211,292,1628
70.83,1996,0.289,0.317,1680,12,242,297,1626
70.94,2015,0.289,0.311,1680,9,233,290,1627
71.04,1981,0.294,0.334,1681,13,233,293,1628
71.14,2016,0.294,0.323,1681,11,227,299,1628
71.24,2055,0.283,0.311,1679,17,227,310,1628
71.34,1984,0.272,0.283,1677,12,214,312,1633
71.44,1946,0.272,0.294,1677,10,205,283,1632
71.54,1974,0.277,0.311,1678,9,205,285,1630
71.64,1983,0.283,0.317,1679,8,187,288,1637
71.74,2039,0.283,0.306,1679,10,184,294,1639
71.84,2019,0.283,0.306,1679,8,184,292,1633
71.94,2040,0.277,0.3,1678,9,181,293,1631
72.04,2018,0.283,0.306,1679,12,181,293,1630
72.14,2027,0.283,0.317,1679,8,208,289,1632
72.24,2012,0.289,0.323,1680,12,225,292,1630
72.34,2025,0.294,0.34,1681,14,225,286,1629
72.44,1972,0.3,0.38,1682,17,234,292,1629
72.54,2012,0.311,0.38,1684,14,252,300,1621
72.64,2030,0.306,0.328,1683,10,252,300,1625
72.74,2004,0.306,0.346,1683,14,264,296,1623
72.84,2000,0.306,0.34,1683,10,264,304,1625
72.95,2001,0.311,0.391,1684,18,289,295,1625
73.05,2020,0.317,0.357,1685,12,280,295,1628
73.15,1988,0.323,0.402,1686,19,280,300,1624
73.25,1939,0.34,0.425,1689,21,289,301,1628
73.35,1959,0.357,0.437,1692,15,323,301,1626
73.45,2035,0.363,0.425,1693,14,323,295,1624
73.55,2037,0.363,0.397,1693,10,365,300,1624
73.65,2006,0.368,0.42,1694,14,365,299,1623
73.75,2029,0.374,0.408,1695,11,323,293,1632
73.85,2028,0.374,0.437,1695,17,306,292,1623
73.95,2052,0.374,0.425,1695,17,306,291,1626
74.05,2035,0.374,0.437,1695,16,295,293,1630
74.15,2018,0.374,0.42,1695,18,297,289,1627
74.25,2073,0.351,0.357,1691,13,297,293,1626
74.35,2019,0.34,0.346,1689,13,278,291,1626
74.45,1995,0.334,0.363,1688,13,278,287,1626
74.55,2031,0.323,0.346,1686,12,280,290,1626
74.65,2015,0.323,0.346,1686,10,268,288,1626
74.75,1977,0.323,0.363,1686,14,268,285,1627
74.85,2002,0.323,0.363,1686,14,256,283,1626
74.95,2034,0.323,0.374,1686,18,262,285,1626
75.05,2114,0.311,0.368,1684,22,262,296,1625
75.15,2107,0.294,0.266,1681,6,297,296,1630
75.25,2054,0.283,0.283,1679,8,297,297,1629
75.35,2032,0.277,0.283,1678,8,268,292,1633
75.46,2046,0.272,0.277,1677,8,255,291,1635
75.56,2093,0.266,0.283,1676,12,255,300,1633
75.66,2097,0.255,0.26,1674,10,262,295,1636
75.76,2084,0.243,0.232,1672,7,243,293,1633
75.86,2067,0.232,0.232,1670,8,243,293,1631
75.96,2044,0.226,0.226,1669,6,230,292,1633
76.06,2019,0.22,0.243,1668,10,230,286,1626
76.16,1972,0.226,0.255,1669,8,218,285,1627
76.26,1987,0.232,0.266,1670,9,244,284,1628
76.36,2008,0.237,0.26,1671,8,244,288,1633
76.46,2009,0.237,0.26,1671,7,288,291,1626
76.56,1995,0.237,0.26,1671,8,317,289,1628
76.66,1989,0.237,0.249,1671,6,317,285,1628
76.76,1976,0.237,0.255,1671,7,372,287,1625
76.86,1981,0.237,0.255,1671,6,372,288,1629
76.96,1975,0.237,0.255,1671,7,378,289,1628
77.06,1994,0.237,0.26,1671,8,361,290,1628
77.16,2022,0.237,0.26,1671,12,361,289,1629
77.26,1970,0.232,0.243,1670,7,338,287,1626
77.36,1969,0.237,0.249,1671,5,366,289,1625
77.46,1972,0.237,0.249,1671,6,366,288,1630
77.56,2089,0.232,0.26,1670,14,385,295,1627
77.66,2037,0.22,0.226,1668,7,385,289,1627
77.76,2001,0.22,0.255,1668,14,333,291,1627
77.86,1994,0.232,0.283,1670,13,313,286,1628
77.97,2043,0.249,0.346,1673,19,313,321,1628
78.06,1987,0.255,0.306,1674,15,339,286,1646
78.17,1991,0.272,0.357,1677,16,296,286,1638
78.27,2060,0.277,0.357,1678,21,296,298,1631
78.37,2051,0.272,0.283,1677,8,280,293,1629
78.47,1970,0.277,0.323,1678,11,280,289,1628
78.57,2078,0.272,0.294,1677,12,277,292,1627
78.67,2061,0.266,0.266,1676,6,288,295,1628
78.77,2001,0.272,0.3,1677,9,288,290,1629
78.87,2074,0.26,0.266,1675,9,281,294,1631
78.97,2019,0.249,0.249,1673,9,271,291,1626
79.07,1993,0.249,0.277,1673,11,271,295,1627
79.17,2042,0.249,0.283,1673,11,271,294,1628
79.27,2022,0.26,0.306,1675,12,271,315,1628
79.37,2088,0.255,0.26,1674,8,260,295,1627
79.47,2022,0.255,0.283,1674,12,263,287,1626
79.57,2034,0.26,0.3,1675,10,263,292,1627
79.67,1975,0.272,0.328,1677,14,257,297,1624
79.77,2084,0.277,0.34,1678,18,245,311,1624
79.87,2084,0.277,0.283,1678,8,245,295,1622
79.97,2013,0.283,0.346,1679,14,288,290,1624
80.07,2091,0.289,0.328,1680,12,288,292,1619
80.17,2053,0.289,0.323,1680,12,320,292,1622
80.27,2011,0.294,0.328,1681,8,347,288,1624
80.37,2046,0.294,0.328,1681,11,347,285,1625
80.47,1999,0.3,0.323,1682,7,340,289,1625
80.58,2034,0.3,0.323,1682,6,328,292,1624
80.68,2055,0.294,0.317,1681,12,328,293,1623
80.78,1970,0.3,0.328,1682,10,311,290,1628
80.88,1944,0.311,0.351,1684,8,311,286,1626
80.98,2168,0.294,0.346,1681,23,290,296,1627
81.08,1995,0.289,0.351,1680,23,261,283,1626
81.18,1960,0.3,0.402,1682,21,261,284,1623
81.28,1995,0.311,0.397,1684,20,294,293,1618
81.38,1933,0.328,0.442,1687,22,261,291,1620
81.48,2010,0.334,0.408,1688,18,261,300,1619
81.58,2088,0.328,0.397,1687,22,273,299,1621
81.68,2106,0.311,0.328,1684,15,273,296,1627
81.78,1960,0.306,0.38,1683,26,265,284,1627
81.88,1951,0.311,0.391,1684,24,321,332,1623
81.98,2113,0.3,0.38,1682,27,321,318,1625
82.08,2027,0.289,0.294,1680,10,316,294,1623
82.18,2019,0.277,0.277,1678,7,357,292,1624
82.28,2027,0.272,0.289,1677,11,357,295,1624
82.38,2063,0.272,0.374,1677,24,331,325,1624
82.48,2084,0.266,0.272,1676,10,331,295,1624
82.58,2081,0.255,0.255,1674,6,318,295,1623
82.68,1968,0.26,0.385,1675,30,275,347,1626
82.78,1935,0.283,0.442,1679,30,275,383,1624
82.89,1981,0.306,0.442,1683,25,276,379,1622
82.98,1953,0.334,0.494,1688,32,286,399,1623
83.09,1979,0.357,0.511,1692,32,286,382,1623
83.19,2023,0.368,0.505,1694,31,311,340,1618
83.29,2118,0.357,0.42,1692,24,311,301,1620
83.39,2036,0.334,0.328,1688,12,311,292,1622
83.49,1963,0.334,0.391,1688,21,269,337,1622
83.59,1989,0.34,0.402,1689,19,269,329,1622
83.69,2008,0.34,0.385,1689,14,269,323,1623
83.79,2076,0.323,0.323,1686,12,258,313,1619
83.89,2024,0.317,0.311,1685,10,258,301,1621
83.99,2004,0.311,0.351,1684,13,232,306,1627
84.09,2003,0.323,0.408,1686,25,232,363,1627
84.19,2024,0.323,0.402,1686,21,228,359,1626
84.29,2013,0.323,0.368,1686,16,216,320,1619
84.39,2019,0.334,0.431,1688,26,216,374,1621
84.49,2079,0.323,0.357,1686,15,206,325,1623
84.59,1952,0.328,0.437,1687,25,214,417,1621
84.69,1955,0.34,0.459,1689,28,214,395,1622
84.79,1955,0.351,0.459,1691,26,220,406,1620
84.89,1989,0.357,0.465,1692,24,220,403,1617
84.99,2042,0.368,0.454,1694,22,245,398,1619
85.09,2031,0.374,0.448,1695,21,235,397,1618
85.19,2032,0.374,0.465,1695,24,235,400,1617
85.29,2005,0.385,0.465,1697,24,234,405,1619
85.4,2001,0.391,0.494,1698,25,223,393,1620
85.5,1972,0.397,0.476,1699,23,223,385,1621
85.6,2080,0.391,0.482,1698,31,200,370,1621
85.7,2064,0.368,0.357,1694,9,200,298,1621
85.8,1941,0.374,0.499,1695,30,184,382,1624
85.9,2044,0.38,0.476,1696,26,173,358,1622
86.0,2091,0.357,0.34,1692,10,173,295,1622
86.1,2037,0.34,0.346,1689,14,190,291,1622
86.2,1982,0.346,0.38,1690,11,209,335,1623
86.3,2003,0.346,0.397,1690,12,209,333,1621
86.4,2018,0.351,0.402,1691,15,191,344,1623
86.5,2006,0.346,0.402,1690,17,191,327,1624
86.6,1976,0.346,0.391,1690,16,179,328,1622
86.7,1983,0.351,0.471,1691,30,182,414,1625
86.8,1999,0.351,0.408,1691,18,182,367,1622
86.9,2037,0.346,0.385,1690,16,158,338,1620
87.0,2068,0.334,0.351,1688,12,151,313,1618
87.1,1999,0.34,0.391,1689,17,151,365,1622
87.2,2016,0.346,0.442,1690,21,135,359,1629
87.3,2030,0.357,0.448,1692,22,135,342,1625
87.4,2047,0.357,0.408,1692,15,128,319,1624
87.5,2037,0.363,0.437,1693,21,120,321,1623
87.6,2072,0.357,0.408,1692,18,120,309,1626
87.7,2048,0.357,0.402,1692,17,120,308,1623
87.8,2014,0.363,0.425,1693,17,116,304,1621
87.9,2012,0.368,0.448,1694,18,116,305,1618
88.01,2020,0.374,0.431,1695,18,114,309,1620
88.11,2038,0.368,0.425,1694,20,114,308,1619
88.21,2017,0.368,0.425,1694,20,124,321,1621
88.31,2021,0.368,0.442,1694,22,122,299,1622
88.41,2028,0.368,0.448,1694,21,122,289,1621
88.51,2011,0.374,0.448,1695,22,122,293,1623
88.61,2037,0.374,0.425,1695,17,135,287,1622
88.71,2123,0.357,0.38,1692,17,135,293,1622
88.81,2122,0.328,0.3,1687,11,153,299,1622
88.91,2021,0.3,0.277,1682,9,153,295,1624
89.01,1961,0.294,0.306,1681,12,211,292,1618
89.11,2048,0.283,0.3,1679,14,204,292,1621
89.21,2018,0.272,0.26,1677,7,204,289,1623
89.31,2008,0.26,0.26,1675,8,180,290,1627
89.41,2018,0.255,0.26,1674,7,197,294,1625
89.51,1990,0.255,0.283,1674,10,197,289,1620
89.61,2059,0.249,0.289,1673,14,188,295,1619
89.71,2012,0.249,0.26,1673,8,188,292,1632
89.81,1969,0.249,0.283,1673,10,206,293,1627
89.91,2022,0.249,0.272,1673,13,213,294,1622
90.01,1978,0.249,0.277,1673,9,213,288,1622
