unix_time,cmd_rpm,measured_rpm,i_dc_mv
1785368585.877,0,0,1766
1785368585.877,0,0,1765
1785368586.081,0,0,1766
1785368586.081,0,0,1765
1785368586.283,0,0,1765
1785368586.283,0,0,1766
1785368586.486,0,0,1765
1785368586.486,0,0,1766
1785368586.691,0,0,1765
1785368586.691,0,0,1765
1785368586.895,0,0,1766
1785368586.896,0,0,1766
1785368587.098,0,0,1766
1785368587.099,0,0,1766
1785368587.303,0,0,1766
1785368587.303,0,0,1766
1785368587.508,0,0,1765
1785368587.508,0,0,1766
1785368587.713,0,0,1766
1785368587.713,0,0,1766
1785368587.917,0,0,1766
1785368587.917,0,0,1766
1785368588.121,0,0,1766
1785368588.121,0,0,1765
1785368588.327,0,0,1766
1785368588.327,0,0,1765
1785368588.531,0,0,1765
1785368588.531,0,0,1765
1785368588.734,0,0,1765
1785368588.734,0,0,1765
1785368588.939,0,0,1765
1785368588.939,0,0,1765
1785368589.144,0,0,1765
1785368589.144,0,0,1766
1785368589.350,0,0,1766
1785368589.350,0,0,1766
1785368589.552,0,0,1766
1785368589.552,0,0,1766
1785368589.757,0,0,1765
1785368589.757,0,0,1765
1785368589.961,0,0,1765
1785368589.961,0,0,1765
1785368590.165,0,0,1765
1785368590.165,0,0,1765
1785368590.370,0,0,1765
1785368590.370,0,0,1765
1785368590.370,0,0,1765
1785368590.574,0,0,1765
1785368590.574,0,0,1766
1785368590.778,0,0,1766
1785368590.778,0,0,1766
1785368590.982,0,0,1766
1785368590.982,0,0,1766
1785368591.189,0,0,1766
1785368591.189,0,0,1765
1785368591.393,0,0,1765
1785368591.393,0,0,1765
1785368591.598,0,0,1766
1785368591.598,0,0,1765
1785368591.802,0,0,1766
1785368591.802,0,0,1765
1785368592.005,0,0,1765
1785368592.005,0,0,1765
1785368592.210,0,0,1765
1785368592.210,0,0,1765
1785368592.413,0,0,1766
1785368592.413,0,0,1765
1785368592.616,0,0,1766
1785368592.617,0,0,1766
1785368592.819,0,0,1766
1785368592.819,0,0,1766
1785368593.023,0,0,1765
1785368593.023,0,0,1766
1785368593.225,0,0,1765
1785368593.225,0,0,1765
1785368593.430,0,0,1766
1785368593.430,0,0,1766
1785368593.633,0,0,1766
1785368593.633,0,0,1766
1785368593.838,0,0,1766
1785368593.838,0,0,1766
1785368594.041,0,0,1766
1785368594.041,0,0,1765
1785368594.245,0,0,1765
1785368594.245,0,0,1765
1785368594.446,0,0,1765
1785368594.446,0,0,1765
1785368594.649,0,0,1766
1785368594.649,0,0,1766
1785368594.854,0,0,1766
1785368594.854,0,0,1765
1785368595.059,0,0,1766
1785368595.059,0,0,1766
1785368595.263,0,0,1766
1785368595.263,0,0,1766
1785368595.467,0,0,1766
1785368595.467,0,0,1766
1785368595.672,0,0,1766
1785368595.672,0,0,1766
1785368595.874,0,0,1766
1785368595.874,0,0,1766
1785368596.077,0,0,1765
1785368596.077,0,0,1765
1785368596.277,0,0,1765
1785368596.277,0,0,1765
1785368596.480,0,0,1765
1785368596.480,0,0,1765
1785368596.682,0,0,1765
1785368596.682,0,0,1766
1785368596.886,0,0,1766
1785368596.886,0,0,1766
1785368597.088,0,0,1765
1785368597.088,0,0,1766
1785368597.295,0,0,1766
1785368597.296,0,0,1766
1785368597.296,0,0,1765
1785368597.498,0,0,1766
1785368597.498,0,0,1766
1785368597.703,0,0,1766
1785368597.703,0,0,1766
1785368597.906,0,0,1766
1785368597.906,0,0,1766
1785368598.110,0,0,1766
1785368598.110,0,0,1766
1785368598.312,0,0,1766
1785368598.312,0,0,1766
1785368598.516,0,0,1765
1785368598.516,0,0,1766
1785368598.720,0,0,1765
1785368598.720,0,0,1766
1785368598.921,0,0,1765
1785368598.921,0,0,1765
1785368599.125,0,0,1766
1785368599.125,0,0,1766
1785368599.326,0,0,1766
1785368599.326,0,0,1765
1785368599.529,0,0,1766
1785368599.529,0,0,1765
1785368599.730,0,0,1766
1785368599.730,0,0,1766
1785368599.933,0,0,1765
1785368599.934,0,0,1765
1785368600.136,0,0,1765
1785368600.136,0,0,1765
1785368600.341,0,0,1765
1785368600.341,0,0,1765
1785368600.545,0,0,1766
1785368600.545,0,0,1765
1785368600.749,0,0,1765
1785368600.749,0,0,1765
1785368600.950,0,0,1765
1785368600.950,0,0,1765
1785368601.151,0,0,1765
1785368601.151,0,0,1765
1785368601.352,0,0,1765
1785368601.353,0,0,1766
1785368601.556,0,0,1766
1785368601.556,0,0,1766
1785368601.760,0,0,1765
1785368601.760,0,0,1765
1785368601.963,0,0,1766
1785368601.963,0,0,1766
1785368602.168,0,0,1766
1785368602.168,0,0,1766
1785368602.368,0,0,1766
1785368602.368,0,0,1766
1785368602.570,0,0,1765
1785368602.570,0,0,1766
1785368602.773,0,0,1766
1785368602.773,0,0,1766
1785368602.975,0,0,1766
1785368602.975,0,0,1765
1785368603.180,0,0,1766
1785368603.180,0,0,1766
1785368603.385,0,0,1765
1785368603.385,0,0,1765
1785368603.586,0,0,1765
1785368603.586,0,0,1765
1785368603.787,0,0,1765
1785368603.787,0,0,1765
1785368603.991,0,0,1765
1785368603.991,0,0,1766
1785368604.194,0,0,1766
1785368604.194,0,0,1766
1785368604.397,0,0,1766
1785368604.397,0,0,1766
1785368604.598,0,0,1766
1785368604.598,0,0,1766
1785368604.799,0,0,1766
1785368604.799,0,0,1766
1785368605.002,0,0,1766
1785368605.002,0,0,1766
1785368605.205,0,0,1766
1785368605.205,0,0,1766
1785368605.407,0,0,1766
1785368605.407,0,0,1766
1785368605.610,0,0,1766
1785368605.610,0,0,1766
1785368605.813,0,0,1766
1785368605.813,0,0,1766
1785368606.015,0,0,1766
1785368606.015,0,0,1766
1785368606.218,0,0,1765
1785368606.218,0,0,1765
1785368606.420,0,0,1766
1785368606.420,0,0,1766
1785368606.623,0,0,1765
1785368606.623,0,0,1765
1785368606.825,0,0,1766
1785368606.825,0,0,1765
1785368606.825,0,0,1765
1785368607.028,0,0,1766
1785368607.028,0,0,1766
1785368607.234,0,0,1766
1785368607.234,0,0,1765
1785368607.438,0,0,1765
1785368607.438,0,0,1765
1785368607.641,0,0,1765
1785368607.641,0,0,1766
1785368607.844,0,0,1766
1785368607.844,0,0,1766
1785368608.046,0,0,1766
1785368608.046,0,0,1766
1785368608.251,0,0,1766
1785368608.251,0,0,1766
1785368608.453,0,0,1766
1785368608.453,0,0,1766
1785368608.657,0,0,1766
1785368608.657,0,0,1766
1785368608.858,0,0,1766
1785368608.858,0,0,1766
1785368609.060,0,0,1766
1785368609.060,0,0,1766
1785368609.264,0,0,1766
1785368609.264,0,0,1766
1785368609.466,0,0,1765
1785368609.466,0,0,1765
1785368609.670,0,0,1765
1785368609.670,0,0,1765
1785368609.871,0,0,1765
1785368609.871,0,0,1765
1785368610.076,0,0,1765
1785368610.076,0,0,1765
1785368610.280,0,0,1766
1785368610.280,0,0,1766
1785368610.483,0,0,1766
1785368610.483,0,0,1766
1785368610.698,0,0,1765
1785368610.698,0,0,1765
1785368610.901,0,0,1765
1785368610.901,0,0,1765
1785368611.104,0,0,1765
1785368611.104,0,0,1765
1785368611.307,0,0,1765
1785368611.307,0,0,1766
1785368611.510,0,0,1765
1785368611.510,0,0,1766
1785368611.713,0,0,1766
1785368611.713,0,0,1766
1785368611.915,0,0,1766
1785368611.915,0,0,1766
1785368612.118,0,0,1766
1785368612.118,0,0,1766
1785368612.320,0,0,1766
1785368612.320,0,0,1766
1785368612.524,0,0,1766
1785368612.524,0,0,1766
1785368612.729,0,0,1766
1785368612.729,0,0,1766
1785368612.933,0,0,1766
1785368612.933,0,0,1766
1785368613.139,0,0,1765
1785368613.139,0,0,1765
1785368613.345,0,0,1765
1785368613.345,0,0,1766
1785368613.550,0,0,1766
1785368613.550,0,0,1766
1785368613.550,0,0,1766
1785368613.755,0,0,1766
