iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-20T13:17:43.569752+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,55300,1398,278,1530,2028,1,0,16866,9,0,,,,,,,,,,
2026-06-20T13:17:43.663306+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,55400,1398,278,1530,2028,4,0,16922,9,0,,,,,,,,,,
2026-06-20T13:17:43.757015+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,55500,1398,277,1529,2026,2,0,16978,9,0,,,,,,,,,,
2026-06-20T13:17:43.851139+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,55600,1398,279,1528,2027,1,0,17034,9,0,,,,,,,,,,
2026-06-20T13:17:43.991339+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,55700,1398,277,1531,2028,4,0,17090,9,0,,,,,,,,,,
2026-06-20T13:17:44.051844+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,55800,1399,277,1528,2024,2,0,17146,9,0,,,,,,,,,,
2026-06-20T13:17:44.182349+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,55900,1398,270,1538,2021,1,0,17202,9,0,,,,,,,,,,
2026-06-20T13:17:44.284341+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56000,1398,279,1530,2029,4,0,17258,9,0,,,,,,,,,,
2026-06-20T13:17:44.377636+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56100,1399,276,1534,2027,6,0,17313,9,0,,,,,,,,,,
2026-06-20T13:17:44.469351+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56200,1398,271,1537,2022,3,0,17369,9,0,,,,,,,,,,
2026-06-20T13:17:44.562291+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56300,1398,273,1535,2024,5,0,17425,9,0,,,,,,,,,,
2026-06-20T13:17:44.644192+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56400,1398,277,1529,2025,6,0,17481,9,0,,,,,,,,,,
2026-06-20T13:17:44.797672+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56500,1397,277,1531,2028,3,0,17537,9,0,,,,,,,,,,
2026-06-20T13:17:44.844280+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56600,1398,275,1533,2026,5,0,17593,9,0,,,,,,,,,,
2026-06-20T13:17:44.986095+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56700,1398,279,1529,2028,6,0,17649,9,0,,,,,,,,,,
2026-06-20T13:17:45.072644+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56800,1397,274,1536,2027,3,0,17705,9,0,,,,,,,,,,
2026-06-20T13:17:45.163126+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,56900,1398,271,1537,2022,5,0,17761,9,0,,,,,,,,,,
2026-06-20T13:17:45.257227+00:00,S010,commissioning_unmounted,false,healthy,none,1400,healthy_horizontal_no_load_1400rpm,57000,1398,277,1530,2027,6,0,17817,9,0,,,,,,,,,,
