iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,i_dc_mv,adc_vref_raw,adc_pc0_mv,accel_rms_mg,accel_pk_mg,temp_mv,sensor_status,i_dc_peak_mv,i_dc_min_mv,i_adc_raw_sum,i_adc_raw_count,i_adc_raw_min,i_adc_raw_max,i_adc_ema_q8,vref_adc_raw_sum,vref_adc_raw_count,vref_adc_ema_q8,vref_factory_cal_raw,frame_seq,pwm_ticks,i_adc_window_start_us,i_adc_window_end_us,i_adc_fail_count,vref_window_start_us,vref_window_end_us,i_adc_raw_sumsq,vref_adc_raw_sumsq,i_dc_a,i_dc_zero_mv,i_dc_peak_a,i_dc_min_a,i_dc_a_signed,temp_motor_c,temp_motor_f,temp_ambient_c,i_u_a,i_v_a,i_w_a,modbus_rpm,modbus_fault
2026-07-30T19:17:12.987741+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76264,1134,263,1895,2475,5,0,688491,9,223,73,1,3,1658,1494,1212,64,136,1653,16383,1663,1650,1643738,800,2001,2085,526198,11955,8,382569,1496,43649,476,76166295,76265368,0,76265442,76265956,3377395516,17865255,0.0772,1651.6,0.08476620702634818,-0.05521248908406573,0.0772,24.91,76.8,,,,,,
2026-07-30T19:17:13.130132+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76365,1121,263,1919,2506,3,0,688537,9,223,72,0,2,1658,1495,1212,64,136,1650,16383,1662,1651,1660857,808,2017,2227,526223,11958,8,382574,1496,43650,476,76266352,76366138,0,76366152,76366667,3414014451,17874222,0.0772,1651.6,0.3204658258906168,-0.029393120421475682,0.0772,25.0,77.0,,,,,,
2026-07-30T19:17:13.213686+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76465,1119,260,1927,2509,5,0,688581,9,223,72,1,2,1658,1494,1211,61,134,1658,16383,1664,1651,1643990,800,2001,2083,526229,11953,8,382570,1496,43651,476,76367061,76466184,0,76466194,76466709,3378432502,17859281,0.0772,1651.6,0.08201417878356887,-0.05465455509077222,0.0772,24.76,76.6,,,,,,
2026-07-30T19:17:13.316703+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76565,1113,262,1931,2521,2,0,688626,9,223,73,0,2,1658,1495,1238,63,134,1652,16383,1663,1651,1643593,800,1997,2079,526204,11957,8,382573,1496,43652,476,76467104,76566231,0,76566245,76566760,3376810555,17871235,0.0772,1651.6,0.07418824011039549,-0.06243477368905248,0.0772,24.94,76.9,,,,,,
2026-07-30T19:17:13.410636+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76665,1108,262,1944,2537,1,0,688670,9,223,73,1,2,1658,1494,1224,63,134,1649,16383,1662,1653,1644072,800,1959,2107,526287,11955,8,382573,1496,43653,476,76567153,76666270,0,76666280,76666795,3378775250,17865257,0.0772,1651.6,0.12142729410288533,-0.12520183713927224,0.0772,25.03,77.1,,,,,,
2026-07-30T19:17:13.506024+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76765,1105,263,1944,2539,4,0,688714,9,223,72,1,3,1658,1494,1235,64,128,1642,16383,1662,1652,1643161,800,2027,2087,526228,11955,8,382573,1496,43654,476,76667191,76766309,0,76766319,76766833,3375027575,17865255,0.0772,1651.6,0.08809903312421552,-0.011885749811794355,0.0772,25.24,77.4,,,,,,
2026-07-30T19:17:13.599931+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76865,1092,261,1971,2570,2,0,688758,9,223,72,0,3,1658,1494,1234,64,128,1648,16383,1662,1653,1643511,800,2030,2075,526205,11955,8,382573,1496,43655,476,76767229,76866359,0,76866369,76866884,3376458291,17865257,0.0772,1651.6,0.06810207653701328,-0.006886510664994017,0.0772,25.06,77.1,,,,,,
2026-07-30T19:17:13.691937+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,76965,1091,260,1974,2571,1,0,688802,9,223,72,1,3,1658,1494,1225,64,131,1663,16383,1662,1651,1643638,800,2019,2287,526177,11955,8,382573,1496,43656,476,76867281,76966390,0,76966399,76966914,3377048278,17865255,0.0772,1651.6,0.42138164291091584,-0.025217054203262812,0.0772,24.61,76.3,,,,,,
2026-07-30T19:17:13.786408+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,77065,1098,262,1960,2557,4,0,688846,9,223,72,4,1,1658,1494,1212,63,128,1656,16383,1663,1651,1644036,800,2021,2154,526197,11953,8,382569,1496,43657,476,76967310,77066419,0,77066429,77066944,3378636010,17859281,0.0772,1651.6,0.2003493020162299,-0.02132071756044507,0.0772,24.82,76.7,,,,,,
2026-07-30T19:17:13.928008+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,77166,1113,262,1934,2522,3,0,688891,9,223,73,1,2,1658,1494,1230,63,128,1653,16383,1663,1653,1660071,808,2017,2087,526150,11955,8,382569,1496,43658,476,77067340,77167072,0,77167146,77167661,3410740001,17865255,0.0772,1651.6,0.08809903312421552,-0.02854988030112926,0.0772,24.91,76.8,,,,,,
2026-07-30T19:17:14.020424+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,77266,1115,262,1928,2516,4,0,688936,9,223,73,1,2,1658,1494,1225,59,129,1646,16383,1663,1648,1643710,800,1959,2233,526122,11953,8,382565,1496,43659,476,77168056,77267219,0,77267298,77267813,3377320998,17859279,0.0772,1651.6,0.3320179602610218,-0.124655613904459,0.0772,25.12,77.2,,,,,,
2026-07-30T19:17:14.115044+00:00,S015,mounted,true,healthy,none,1100,healthy_horizontal_no_load_1100rpm,77366,1098,261,1961,2556,6,0,688979,9,223,72,1,3,1658,1494,1225,62,130,1646,16383,1662,1651,1643208,800,1961,2225,526067,11955,8,382565,1496,43660,476,77268208,77367247,0,77367321,77367839,3375265396,17865255,0.0772,1651.6,0.31806403387703863,-0.12186901104140535,0.0772,25.12,77.2,,,,,,
