iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,period_std_permil,mech1x_permil,elec_permil,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-21T01:14:38.609144+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2695630,1102,266,1951,2556,5,16,116396,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:38.750200+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2695730,1103,261,1954,2547,6,16,116440,9,468,74,1,2,,,,,,,,,,
2026-06-21T01:14:38.843962+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2695830,1103,267,1949,2555,3,16,116484,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:38.937177+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2695930,1103,266,1949,2552,5,16,116528,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:39.038824+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696030,1103,267,1946,2553,6,16,116572,9,468,75,1,3,,,,,,,,,,
2026-06-21T01:14:39.131590+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696130,1103,265,1957,2558,3,16,116616,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:39.223860+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696230,1103,266,1954,2558,5,16,116660,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:39.312200+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696330,1102,268,1949,2558,6,16,116704,9,468,74,0,2,,,,,,,,,,
2026-06-21T01:14:39.406121+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696430,1103,264,1957,2555,1,16,116749,9,468,73,0,1,,,,,,,,,,
2026-06-21T01:14:39.546805+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696530,1103,266,1957,2560,4,16,116793,9,468,74,0,1,,,,,,,,,,
2026-06-21T01:14:39.641448+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696630,1103,265,1954,2556,2,16,116837,9,468,74,0,1,,,,,,,,,,
2026-06-21T01:14:39.738605+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696730,1103,270,1946,2558,1,16,116881,9,468,75,1,1,,,,,,,,,,
2026-06-21T01:14:39.832310+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696830,1102,267,1953,2560,4,16,116925,9,468,74,1,2,,,,,,,,,,
2026-06-21T01:14:39.922095+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2696930,1103,266,1952,2555,2,16,116969,9,468,74,0,2,,,,,,,,,,
2026-06-21T01:14:40.020249+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697030,1103,267,1949,2555,1,16,117013,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:40.113743+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697130,1102,265,1957,2560,4,16,117057,9,468,74,1,2,,,,,,,,,,
2026-06-21T01:14:40.208650+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697230,1102,263,1960,2557,3,16,117102,9,468,74,0,1,,,,,,,,,,
2026-06-21T01:14:40.303126+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697330,1103,268,1949,2558,5,16,117146,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:40.444882+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697430,1103,269,1948,2558,6,16,117190,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:40.539213+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697530,1102,268,1946,2555,3,16,117234,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:40.632247+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697630,1103,265,1954,2555,5,16,117278,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:40.727154+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697730,1103,261,1960,2553,6,16,117322,9,468,74,0,2,,,,,,,,,,
2026-06-21T01:14:40.822307+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697830,1102,264,1959,2558,3,16,117366,9,468,74,1,2,,,,,,,,,,
2026-06-21T01:14:40.914361+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2697930,1103,264,1956,2556,4,16,117411,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:41.008620+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698030,1102,265,1951,2553,2,16,117455,9,468,74,1,2,,,,,,,,,,
2026-06-21T01:14:41.134483+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698130,1103,264,1957,2555,1,16,117499,9,468,74,0,1,,,,,,,,,,
2026-06-21T01:14:41.197992+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698230,1103,267,1949,2555,4,16,117543,9,468,75,0,3,,,,,,,,,,
2026-06-21T01:14:41.332298+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698330,1103,264,1954,2553,2,16,117587,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:41.435103+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698430,1103,267,1954,2560,1,16,117631,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:41.519618+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698530,1103,269,1946,2556,4,16,117675,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:41.610239+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698630,1103,263,1952,2548,3,16,117720,9,468,74,0,1,,,,,,,,,,
2026-06-21T01:14:41.704417+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698730,1103,266,1949,2553,5,16,117764,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:41.810229+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698830,1103,267,1951,2558,6,16,117808,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:41.937195+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2698930,1103,269,1948,2558,3,16,117852,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:42.031265+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699030,1102,269,1951,2561,5,16,117896,9,468,74,0,2,,,,,,,,,,
2026-06-21T01:14:42.125254+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699130,1103,270,1946,2558,6,16,117940,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:42.220171+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699230,1102,268,1949,2558,3,16,117984,9,468,74,0,2,,,,,,,,,,
2026-06-21T01:14:42.325123+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699330,1103,267,1955,2560,4,16,118029,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:42.409144+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699430,1103,265,1954,2556,2,16,118073,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:42.501219+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699530,1103,267,1949,2555,1,16,118117,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:42.593211+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699630,1102,264,1959,2558,4,16,118161,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:42.697610+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699730,1102,267,1951,2558,2,16,118205,9,468,74,0,2,,,,,,,,,,
2026-06-21T01:14:42.838175+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699830,1103,268,1946,2555,1,16,118249,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:42.922187+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2699930,1103,268,1949,2558,4,16,118293,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:43.015172+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700030,1103,270,1946,2558,2,16,118337,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:43.120604+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700130,1102,266,1955,2560,5,16,118382,9,468,75,1,2,,,,,,,,,,
2026-06-21T01:14:43.203345+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700230,1103,267,1951,2558,6,16,118426,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:43.298592+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700330,1102,267,1951,2558,3,16,118470,9,468,75,0,2,,,,,,,,,,
2026-06-21T01:14:43.392212+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700430,1103,263,1951,2548,5,16,118514,9,468,74,1,2,,,,,,,,,,
2026-06-21T01:14:43.531230+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700530,1102,264,1959,2558,6,16,118558,9,468,74,0,2,,,,,,,,,,
2026-06-21T01:14:43.628297+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700630,1103,266,1954,2557,3,16,118602,9,468,74,1,1,,,,,,,,,,
2026-06-21T01:14:43.720200+00:00,S021,commissioning_unmounted,false,imbalance,mild,1100,imbalance-mild_horizontal_no_load_1100rpm,2700730,1103,264,1957,2555,5,16,118646,9,468,74,1,2,,,,,,,,,,
