iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-20T13:06:25.924488+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237003,1784,287,1199,1601,5,0,123602,9,0,,,,,,,,,,
2026-06-20T13:06:26.015638+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237103,1784,290,1190,1597,5,0,123674,9,0,,,,,,,,,,
2026-06-20T13:06:26.109638+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237203,1785,284,1194,1592,1,0,123745,9,0,,,,,,,,,,
2026-06-20T13:06:26.204650+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237303,1785,290,1191,1598,3,0,123816,9,0,,,,,,,,,,
2026-06-20T13:06:26.298646+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237403,1786,293,1189,1599,3,0,123888,9,0,,,,,,,,,,
2026-06-20T13:06:26.391831+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237503,1785,293,1188,1599,2,0,123959,9,0,,,,,,,,,,
2026-06-20T13:06:26.484644+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237603,1785,291,1188,1596,2,0,124031,9,0,,,,,,,,,,
2026-06-20T13:06:26.616115+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237703,1785,294,1187,1599,6,0,124102,9,0,,,,,,,,,,
2026-06-20T13:06:26.721006+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237803,1786,292,1188,1597,4,0,124173,9,0,,,,,,,,,,
2026-06-20T13:06:26.815567+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,237903,1785,287,1191,1594,4,0,124245,9,0,,,,,,,,,,
2026-06-20T13:06:26.910784+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238003,1786,290,1189,1595,5,0,124316,9,0,,,,,,,,,,
2026-06-20T13:06:27.003966+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238103,1785,292,1189,1598,5,0,124388,9,0,,,,,,,,,,
2026-06-20T13:06:27.098265+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238203,1783,292,1189,1599,1,0,124459,9,0,,,,,,,,,,
2026-06-20T13:06:27.192770+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238303,1786,291,1189,1597,3,0,124530,9,0,,,,,,,,,,
2026-06-20T13:06:27.332700+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238403,1783,290,1189,1596,3,0,124602,9,0,,,,,,,,,,
2026-06-20T13:06:27.378845+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238503,1784,287,1194,1596,2,0,124673,9,0,,,,,,,,,,
2026-06-20T13:06:27.519892+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238603,1783,288,1194,1598,2,0,124745,9,0,,,,,,,,,,
2026-06-20T13:06:27.614527+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238703,1784,286,1199,1601,6,0,124816,9,0,,,,,,,,,,
2026-06-20T13:06:27.693064+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238803,1785,291,1191,1599,4,0,124887,9,0,,,,,,,,,,
2026-06-20T13:06:27.802918+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,238903,1784,294,1187,1599,4,0,124959,9,0,,,,,,,,,,
2026-06-20T13:06:27.896634+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,239003,1784,295,1187,1600,5,0,125030,9,0,,,,,,,,,,
2026-06-20T13:06:28.005640+00:00,S003,commissioning_unmounted,false,healthy,none,1800,healthy_horizontal_no_load_1800rpm,239103,1786,293,1187,1597,5,0,125102,9,0,,,,,,,,,,
