iso_time,session_id,fixture_state,valid_for_classifier,condition,severity,speed_setpoint_rpm,label,t_ms,rpm,ripple_permil,min_us,max_us,hall,illegal,edges,step,coast_ms,accel_rms_g,accel_pk_g,temp_motor_c,temp_ambient_c,i_u_a,i_v_a,i_w_a,i_dc_a,modbus_rpm,modbus_fault
2026-06-20T13:18:00.009575+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,71801,1694,290,1254,1682,1,0,26772,9,0,,,,,,,,,,
2026-06-20T13:18:00.102203+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,71901,1695,287,1252,1676,5,0,26839,9,0,,,,,,,,,,
2026-06-20T13:18:00.196995+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72001,1696,289,1253,1680,6,0,26907,9,0,,,,,,,,,,
2026-06-20T13:18:00.337862+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72101,1695,287,1253,1677,3,0,26975,9,0,,,,,,,,,,
2026-06-20T13:18:00.427652+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72201,1694,286,1259,1681,5,0,27043,9,0,,,,,,,,,,
2026-06-20T13:18:00.535703+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72301,1696,283,1262,1680,6,0,27111,9,0,,,,,,,,,,
2026-06-20T13:18:00.629591+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72401,1694,285,1261,1682,2,0,27178,9,0,,,,,,,,,,
2026-06-20T13:18:00.739685+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72501,1695,286,1256,1678,1,0,27246,9,0,,,,,,,,,,
2026-06-20T13:18:00.818365+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72601,1695,289,1253,1680,4,0,27314,9,0,,,,,,,,,,
2026-06-20T13:18:00.943443+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72701,1695,291,1253,1682,2,0,27382,9,0,,,,,,,,,,
2026-06-20T13:18:01.052685+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72801,1696,286,1259,1681,1,0,27450,9,0,,,,,,,,,,
2026-06-20T13:18:01.099728+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,72901,1696,287,1252,1676,4,0,27518,9,0,,,,,,,,,,
2026-06-20T13:18:01.194243+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73001,1698,287,1252,1675,6,0,27585,9,0,,,,,,,,,,
2026-06-20T13:18:01.334938+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73101,1699,287,1253,1675,3,0,27653,9,0,,,,,,,,,,
2026-06-20T13:18:01.428707+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73201,1698,283,1255,1672,5,0,27721,9,0,,,,,,,,,,
2026-06-20T13:18:01.522682+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73301,1697,283,1255,1673,6,0,27789,9,0,,,,,,,,,,
2026-06-20T13:18:01.617142+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73401,1696,282,1255,1671,3,0,27857,9,0,,,,,,,,,,
2026-06-20T13:18:01.712621+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73501,1696,282,1262,1678,5,0,27925,9,0,,,,,,,,,,
2026-06-20T13:18:01.806086+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73601,1697,291,1250,1679,6,0,27993,9,0,,,,,,,,,,
2026-06-20T13:18:01.900465+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73701,1694,286,1260,1682,3,0,28061,9,0,,,,,,,,,,
2026-06-20T13:18:01.993892+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73801,1696,284,1259,1678,5,0,28129,9,0,,,,,,,,,,
2026-06-20T13:18:02.135663+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,73901,1694,288,1258,1684,4,0,28196,9,0,,,,,,,,,,
2026-06-20T13:18:02.230520+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74001,1683,284,1262,1685,2,0,28264,9,0,,,,,,,,,,
2026-06-20T13:18:02.324116+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74101,1685,285,1266,1689,3,0,28331,9,0,,,,,,,,,,
2026-06-20T13:18:02.417591+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74201,1690,285,1256,1678,5,0,28399,9,0,,,,,,,,,,
2026-06-20T13:18:02.510571+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74301,1694,291,1255,1685,4,0,28466,9,0,,,,,,,,,,
2026-06-20T13:18:02.604619+00:00,S011,commissioning_unmounted,false,healthy,none,1700,healthy_horizontal_no_load_1700rpm,74401,1695,289,1253,1679,2,0,28534,9,0,,,,,,,,,,
